Model,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC,F1_Std,Time_Seconds
XGBoost,0.9975065410218549,0.9971137421216941,0.9982897744266208,0.9977014099795873,0.9999537595223131,0.0002603484340568227,34.00047755241394
Linear SVM,0.9964196263867333,0.9960542484484474,0.9973462112528726,0.996699580998294,0.9996588026572286,0.0009348361374105343,41.659245014190674
Gradient Boosting,0.9958442421895386,0.9943014082206333,0.9980539010302812,0.9961740467751672,0.9997160847915544,0.0002722345526102157,260.3674831390381
Logistic Regression,0.9933827667999052,0.9935197003351574,0.9942797388202956,0.9938985696489152,0.9994082501271906,,
Random Forest,0.9907934264518878,0.9882276501525672,0.9948695005647579,0.9915365370034419,0.9996165506329552,0.0010689784665899136,232.93980169296265
Naive Bayes,0.9532958329637558,0.952791658868536,0.9614911906099944,0.957115059652146,0.9902419467122272,,
