Model,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC
Logistic Regression,0.9933827667999052,0.9935197003351574,0.9942797388202956,0.9938985696489153,0.9994082501271906
Naive Bayes,0.9532958329637558,0.9527916588685361,0.9614911906099943,0.9571150596521459,0.9902419467122272
